COMMUN,MUNPOP50,MUNPOP60,MUNPOP70,MUNPOP80,MUNPOP90,MUNPOP00,COMPOP50,COMPOP60,COMPOP70,COMPOP80,COMPOP90,COMPOP00,POLCAT,METROCAT,CATTLE,PIGS,GRAINCAP,EJIDO,DTAWARD1,DTAWARDL,AWARDSZ,NAGRINST,HCTCORN,HCTWHEAT,HCTBEANS,HCTSORG,HCTPOTAT,HCTFORGE,HCTSUGAR,HCTOTHER,DISCORN,DISWHEAT,DISBEAN,DISSORG,DISPOTAT,DISFORGE,DISSUGAR,DISOTHER,HCTIRLND,HCTRNLND,HCTPASTR,HCTWOODS,HCTORCH,HCTPRIV,HCTEJIDO,HCTCMNL,PRCIRLND,PRCRNLND,PRCPASTR,PRCORCH,IRRIGATE,DAM,WELLSPRG,RESVOIR,HCTIRDAM,HCTIRWEL,HCTIRRES,FUNDDAM,FUNDWELL,FUNDRES,FACTORY,DURFACT,NDURFACT,MANUFPCS,MANPRDCT,LFPF50,LFPF60,LFPF70,LFPF80,LFPF90,LFPF00,AGRIF50,AGRIF60,AGRIF70,AGRIF80,AGRIF90,AGRIF00,MANUF50,MANUF60,MANUF70,MANUF80,MANUF90,MANUF00,SERVF50,SERVF60,SERVF70,SERVF80,SERVF90,SERVF00,LFPM50,LFPM60,LFPM70,LFPM80,LFPM90,LFPM00,AGRIM50,AGRIM60,AGRIM70,AGRIM80,AGRIM90,AGRIM00,MANUM50,MANUM60,MANUM70,MANUM80,MANUM90,MANUM00,SERVM50,SERVM60,SERVM70,SERVM80,SERVM90,SERVM00,SELF50,SELF60,SELF70,SELF80,SELF90,SELF00,OWNER50,OWNER60,OWNER70,OWNER80,OWNER90,OWNER00,LTMIN70,LTMIN80,LTMIN90,LTMIN00,MINX270,MINX280,MINX290,MINX200,DEATHS,CRIMES,ED6YR50,ED6YR60,ED6YR70,ED6YR80,ED6YR90,ED6YR00,CANTREAD,DIRTFLR,RUNWATER,ELECTRIC,NOPLMBNG,HSGINVST,CATHCHCH,PROTCHCH,PRIMSCH,SECONSCH,ACADEMY,PREPSCH,NORMSCH,UNIVERS,YRPRIM,YRSECON,YRPREP,DOCTROFF,GOVCLNCS,HOSPITAL,POSTOFFS,HOTELS,BANKS,YRBANK1,CAMBIOS,YRELEC,PCNTELEC,YRWATER,YRLIGHT,YRTELE,YRPOST,YRTGRAPH,MAJPAVED,MAJCOBB,YRPAVE,KMTOPAVE,MINTOHW,PAVETOHW,YRPAVEHW,TAXIS,TRAINSTN,PLAZA,MARKET,IMSSHOSP,PHARMACY,LENDERS,LENDRATE,VIDEO,SATDISH,BASEBALL,SOCCER,BASKETBL,BBLEAGUE,SCLEAGUE,BKLEAGUE,PARISH,PSMONTH,PSDAY,OSMONTH,OSDAY,SDCHANGE,SDRETURN,SDMASS,CPELEC,CPWATER,CPLIGHT,CPTELE,CPTGRAPH,CPPLAZA,MFELEC,MFWATER,MFLIGHT,MFPLAZA,MFMARKET,MFSPORTS,MFCHURCH,MFSCHOOL,MXWEIGHT,USWEIGHT,MUNPOP10,COMPOP10,LFPM10,LFPF10,AGRIM10,MANUM10,SERVM10,AGRIF10,MANUF10,SERVF10,SELF10,OWNER10,LTMIN10,MINX210,ED6YR10,horate90,horate91,horate92,horate93,horate94,horate95,horate96,horate97,horate98,horate99,horate00,horate01,horate02,horate03,horate04,horate05,horate06,horate07,horate08,horate09,horate10,horate11,horate12,horate13,horate14,horate15
36,17000,20000,20000,22000,23000,21000,9000,10000,10000,12000,13000,13000,2,3,9999,9999,510,1,1926,1943,7,2,6497,0,0,5412,0,0,0,17,3,8888,8888,1,8888,8888,8888,1,443,13956,60040,5400,0,30747,62753,9999,12000,3000,1500,8888,1,2,1,2,0,443,0,8888,3,8888,29,11,18,53,925.9,.0892,.1338,.1503,.1377,.1252,.204880465750031,.402,.6072,.2722,.1447,.0172,.0342639593908629,.0678,.049,.1391,.1067,.0743,.0710659898477157,.5302,.3438,.5887,.7486,.9085,.894670050761421,.9172,.8355,.7244,.6794,.6343,.625570125427594,.7881,.7959,.7183,.5945,.4707,.346543996225525,.0845,.1024,.1253,.1763,.2274,.287096013210663,.1274,.1017,.1564,.2292,.3019,.366359990563812,.5959,.5146,.4393,.5401,.3577,.279584120982987,.0137,.0017,.0581,.0713,.018,.0315689981096408,.7608,.7541,.4818,.381216457960644,.0938,.1106,.1928,.3,176,98,.0545,.0791,.1786,.3668,.5099,.586156405990017,13.32,15.7,69.82,70.21,65.24,184000,22,5,35,24,1,2,0,0,1900,1960,1972,12,5,1,5,4,2,1968,4,1944,90,1960,1944,1950,1900,1900,2,2,8888,31,30,9999,9999,1,1,1,1,1,12,1,9,10,18,5,2,6,1,1,1,1,6,24,8888,8888,2,1,1,2,1,2,2,9999,1,2,2,2,1,2,2,1,2,4.55,100,21000,15000,.728848641655886,.244719764011799,.258137432188065,.324141048824593,.412296564195298,.0140562248995984,.0853413654618474,.8785140562249,.281492109038737,.0284074605451937,.2525,.4093,.687900838677849,22.0361392684002,17.8518758129334,36.155320376083,4.57657505153516,27.8067479766295,32.8515111695138,4.72018687645496,0,14.3246562907833,9.60494389420177,4.83021784282471,0,0,0,9.76548207246331,4.89596083231334,19.4031365868361,4.80602432165405,4.76167751063524,4.71773990263246,4.67420772179116,32.417540589685,22.9417235602935,18.1840260175236,14.0784540334244,0
37,17000,20000,20000,22000,23000,21000,1000,1000,1000,1000,1000,1000,3,4,9999,9999,510,1,1985,1985,9999,2,6497,0,0,5412,0,0,0,17,3,8888,8888,1,8888,8888,8888,1,443,13956,60040,5400,0,30747,62753,9999,9999,3500,1000,8888,1,2,1,2,0,443,0,8888,3,8888,29,11,18,53,925.9,.0892,.1338,.1503,.1377,.1252,.204880465750031,.402,.6072,.2722,.1447,.0172,.0342639593908629,.0678,.049,.1391,.1067,.0743,.0710659898477157,.5302,.3438,.5887,.7486,.9085,.894670050761421,.9172,.8355,.7244,.6794,.6343,.625570125427594,.7881,.7959,.7183,.5945,.4707,.346543996225525,.0845,.1024,.1253,.1763,.2274,.287096013210663,.1274,.1017,.1564,.2292,.3019,.366359990563812,.5959,.5146,.4393,.5401,.3577,.279584120982987,.0137,.0017,.0581,.0713,.018,.0315689981096408,.7608,.7541,.4818,.381216457960644,.0938,.1106,.1928,.3,176,98,.0545,.0791,.1786,.3668,.5099,.586156405990017,13.32,15.7,69.82,70.21,65.24,184000,22,5,35,24,1,2,0,0,1900,1960,1972,12,5,1,5,4,2,1968,4,1968,100,1981,1968,1983,8888,8888,2,2,8888,39,50,2,8888,2,1,1,2,2,0,2,8888,0,22,1,1,0,2,2,2,2,3,19,8888,8888,2,1,1,1,1,1,2,8888,1,9999,9999,9999,9999,8888,9999,9999,9999,1,32.8,21000,1000,.728848641655886,.244719764011799,.258137432188065,.324141048824593,.412296564195298,.0140562248995984,.0853413654618474,.8785140562249,.281492109038737,.0284074605451937,.2525,.4093,.687900838677849,22.0361392684002,17.8518758129334,36.155320376083,4.57657505153516,27.8067479766295,32.8515111695138,4.72018687645496,0,14.3246562907833,9.60494389420177,4.83021784282471,0,0,0,9.76548207246331,4.89596083231334,19.4031365868361,4.80602432165405,4.76167751063524,4.71773990263246,4.67420772179116,32.417540589685,22.9417235602935,18.1840260175236,14.0784540334244,0
38,58000,52000,57000,77000,86000,89000,10000,15000,17000,30000,42000,47000,2,2,9999,9999,1050,1,1928,1985,5.5,6,5122,0,20,0,0,0,0,2551,3,8888,1,8888,8888,8888,8888,1,13853,9999,191987,128792,986,14201,55800,9999,22500,3000,1500,9999,1,1,1,2,709,13144,0,2,3,8888,10,1,9,191,12994.6,.0924,.1356,.1299,.129,.1282,.203846740955579,.4298,.5388,.2454,.1467,.048,.0202358189929892,.0596,.0399,.1261,.1036,.0811,.0892288081580625,.5106,.4213,.6285,.7497,.8709,.890535372848948,.913,.8043,.7335,.7073,.6811,.607362793530487,.8462,.8112,.7715,.6614,.5513,.389766081871345,.0543,.0653,.0967,.1323,.1679,.239356725146199,.0995,.1235,.1318,.2063,.2808,.370877192982456,.6265,.4798,.4326,.4453,.3636,.283296870116533,.0028,.0051,.0526,.074,.0316,.0364334509086038,.7905,.6929,.4897,.344630736728548,.0855,.1338,.1826,.320133051647413,383,56,.0462,.0828,.1218,.3401,.4614,.568358681261907,19.86,36.08,69.59,73.32,63.99,10603000,53,5,114,67,5,7,1,1,1900,1940,1968,18,8,3,6,14,4,1955,5,1935,95,1967,1935,1960,1900,1900,2,2,9999,0,9999,9999,9999,1,1,1,1,2,3,1,9,1,12,1,4,5,1,1,1,1,11,25,11,16,2,1,1,2,1,2,2,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,3.6,19.73,92000,53000,.738946038621187,.273149931224209,.385204205222615,.174410154546776,.428758296594157,.0827380317731101,.0684507943277535,.832178270604542,.306426478838123,.0133703172723306,.245,.4404,.689570710326157,26.6098988823842,26.4592970597456,35.4606945719852,27.298065011667,18.0957122884346,13.4949731225119,12.368473134028,13.4907867673589,14.6127519165445,15.7343686626932,8.98967311301143,6.78938220241456,10.2552584751376,14.916692874072,8.08820834710858,11.6353481877945,4.59195597637498,13.5918104997613,7.8226238041957,13.2310402805715,25.0206692485096,15.0264870693553,22.2385804409455,10.4483113822537,17.0697308626623,10.6167255894937
39,58000,52000,57000,77000,86000,89000,1000,1000,1000,1000,1000,1000,3,4,9999,9999,1050,1,1940,1940,3,6,5122,0,20,0,0,0,0,2551,3,8888,1,8888,8888,8888,8888,1,13853,9999,191987,128792,986,14201,55800,9999,15000,3000,1500,9999,1,2,1,2,0,256,0,8888,3,8888,10,1,9,191,12994.6,.0924,.1356,.1299,.129,.1282,.203846740955579,.4298,.5388,.2454,.1467,.048,.0202358189929892,.0596,.0399,.1261,.1036,.0811,.0892288081580625,.5106,.4213,.6285,.7497,.8709,.890535372848948,.913,.8043,.7335,.7073,.6811,.607362793530487,.8462,.8112,.7715,.6614,.5513,.389766081871345,.0543,.0653,.0967,.1323,.1679,.239356725146199,.0995,.1235,.1318,.2063,.2808,.370877192982456,.6265,.4798,.4326,.4453,.3636,.283296870116533,.0028,.0051,.0526,.074,.0316,.0364334509086038,.7905,.6929,.4897,.344630736728548,.0855,.1338,.1826,.320133051647413,383,56,.0462,.0828,.1218,.3401,.4614,.568358681261907,19.86,36.08,69.59,73.32,63.99,10603000,53,5,114,67,5,7,1,1,1900,1940,1968,18,8,3,6,14,4,1955,5,1969,80,1986,1969,1991,8888,8888,2,2,8888,15,20,1,1960,2,1,1,1,2,0,1,9,0,10,0,2,3,2,2,2,2,7,26,5,15,2,1,2,2,1,2,2,8888,1,2,2,2,2,2,2,1,2,3.31,8888,92000,1000,.738946038621187,.273149931224209,.385204205222615,.174410154546776,.428758296594157,.0827380317731101,.0684507943277535,.832178270604542,.306426478838123,.0133703172723306,.245,.4404,.689570710326157,26.6098988823842,26.4592970597456,35.4606945719852,27.298065011667,18.0957122884346,13.4949731225119,12.368473134028,13.4907867673589,14.6127519165445,15.7343686626932,8.98967311301143,6.78938220241456,10.2552584751376,14.916692874072,8.08820834710858,11.6353481877945,4.59195597637498,13.5918104997613,7.8226238041957,13.2310402805715,25.0206692485096,15.0264870693553,22.2385804409455,10.4483113822537,17.0697308626623,10.6167255894937
40,32000,41000,49000,55000,58000,55000,10000,15000,20000,29000,34000,38000,2,2,30352,15442,9800,1,1925,1970,4,4,12550,0,8303,285,0,2329,0,477,3,8888,3,3,8888,3,8888,3,8821,41506,28560,0,3010,9999,9999,9999,9999,9999,9999,9999,1,1,2,2,750,0,0,1,8888,8888,26,2,24,237,27107.4,.0696,.111,.1582,.1385,.1187,.223676828127922,.384,.628,.2571,.1469,.0366,.0347465034965035,.0805,.073,.1703,.1338,.0973,.138548951048951,.5355,.299,.5726,.7193,.8661,.826704545454545,.8744,.8825,.6617,.6611,.6604,.63465035543065,.8235,.8134,.6807,.553,.4253,.258041329739443,.0772,.0794,.1406,.1887,.2368,.295238095238095,.0993,.1072,.1787,.2583,.3379,.446720575022462,.7082,.5915,.4301,.5222,.3798,.264588062491654,.0033,.0035,.0738,.0649,.0379,.0585525437308052,.6473,.556,.4204,.27828868452619,.1551,.2151,.2661,.352059176329468,327,73,.0719,.0939,.1779,.378,.5417,.630582968765897,7.77,5.99,87.66,93.18,32.57,92718,21,15,18,7,2,3,0,0,1931,1950,1963,54,30,3,26,9999,9999,1910,7,1969,100,1965,1970,1936,1808,1854,1,2,1968,0,0,1,1968,1,1,1,1,9999,32,1,9,6,58,6,7,15,1,1,1,1,5,1,7,4,2,1,1,9999,9999,9999,9999,9999,1,1,1,1,1,1,1,1,2,8.47,40.24,58000,43000,.722922513437664,.279174532349408,.236254098985739,.27568062228323,.483565926942729,.0211753874482124,.109866502992174,.862513426423201,.261958299264105,.0379190515126738,.2519,.3955,.72349650663851,6.89964466829958,5.20736829787186,12.2271541186834,7.03100883947595,12.3818631272775,16.0199359202563,3.57829942400311,7.19341459816184,9.03802467485371,9.08451905932272,3.65250105009405,12.8872152566278,3.71186119258698,7.48380411676849,15.0887442046632,5.70407270791345,3.73406143541969,7.33329439374676,16.2020252062959,8.8386200229932,8.67904877625412,27.2715469028937,40.1687851426541,14.7913437545553,13.6010829394062,23.6786469344609
41,17000,21000,25000,32000,35000,31000,3000,5000,4000,4000,7000,6000,3,4,9999,9999,9000,1,1923,1953,8,1,7160,0,0,120,0,0,0,165,3,8888,8888,1,8888,8888,8888,1,672,13501,954,9999,9999,832,9878,9999,18500,6000,2000,9999,1,1,2,2,672,0,0,1,8888,8888,6,3,3,21,1831.3,.0817,.1276,.112,.1075,.103,.215800960279354,.6713,.7679,.4761,.256,.0359,.0271059216013344,.0216,.0134,.103,.2226,.3422,.424937447873228,.3071,.2187,.4209,.5214,.6219,.547956630525438,.9029,.8715,.6293,.6255,.6216,.504095778197858,.9428,.9389,.8526,.7168,.581,.329817007534984,.0215,.0214,.077,.1573,.2377,.406027987082885,.0357,.0398,.0704,.1259,.1813,.264155005382131,.7279,.5933,.4613,.5942,.4695,.361686280351557,.0014,.0013,.0356,.0807,.0101,.0187695516162669,.6819,.6888,.3576,.379002778183945,.1186,.1204,.2228,.258371106886972,109,23,.0336,.0483,.1144,.351,.41,.487191833590139,30.05,54.77,44.4,88.79,85.03,11900,3,1,32,15,0,1,0,0,1928,1950,1977,12,10,0,11,1,0,8888,1,1955,98,1980,1955,1970,8888,1900,2,1,1984,0,8,1,1975,2,2,1,1,2,2,1,12.5,1,25,0,1,1,2,1,1,1,12,8,8888,8888,2,1,2,2,1,2,2,9999,2,9999,9999,9999,9999,9999,9999,9999,9999,8.62,30.11,30000,6000,.708447613823368,.241204411883101,.349928057553957,.293237410071942,.352805755395683,.03547209181012,.242044861763172,.71830985915493,.444234800838574,.00838574423480084,.3978,.2958,.589231622509493,2.83986027887428,0,5.82192338446552,14.7358859991546,5.96768653492036,21.1467585040179,12.25629944403,12.4311975784885,6.30429575995272,0,12.9710097931124,16.415510536308,0,3.3653138883135,0,3.44958432508883,23.9076539899967,16.9075656374943,20.087897521092,39.7774222764745,16.4095831965868,81.2343501237769,41.8230027138116,35.0377894848938,28.689920675516,34.8112282034242
42,15000,21000,28000,33000,35000,36000,1000,1000,1000,1000,1000,1000,2,2,9999,9999,4000,1,9999,9999,9999,1,9438,0,0,200,0,0,0,1897,3,8888,8888,1,8888,8888,8888,1,100,9999,4549,9999,0,7291,10398,9999,9999,15000,5000,8888,1,2,1,2,0,100,0,8888,2,8888,152,82,70,61,1746.8,.0904,.1393,.1522,.1328,.1133,.205253140464408,.438,.7093,.2111,.1189,.0267,.0287246265798545,.0571,.0217,.3301,.2647,.1994,.154346993489085,.5049,.269,.4587,.6163,.7739,.816928379931061,.9129,.838,.5839,.5561,.5282,.506938187060732,.8807,.892,.8218,.6555,.4892,.327315827862874,.0693,.0443,.0931,.1835,.2738,.328956965718454,.05,.0637,.085,.161,.237,.343727206418672,.631,.5228,.5162,.5481,.4024,.315248503773094,.0084,.0038,.0554,.0723,.0138,.0360395524329951,.6665,.7117,.3784,.352227243382828,.1228,.125,.2461,.326533247256294,162,19,.0746,.0858,.1514,.3959,.4692,.543871261324618,23.64,48.69,52.17,84.46,72.05,1232600,1,0,1,0,0,0,0,0,1920,8888,8888,8,4,1,11,0,1,1978,11,1930,98,1968,1968,1950,1900,1900,2,2,9999,0,90,1,1978,2,2,2,2,1,0,1,4,0,0,0,1,2,2,2,2,2,6,3,1,6,2,1,1,1,2,2,2,9999,8888,9999,9999,9999,8888,8888,9999,1,9999,1.12,8888,37000,1000,.702875159522558,.233622994652406,.280549278637233,.228228750217278,.479749695810881,.0118549511854951,.133542538354254,.845885634588563,.179325074754378,.0346860316104229,.2585,.4164,.62166837293042,25.4676136845978,19.5373382823995,27.5289069850604,19.006783182572,18.7469332377132,26.4151940196001,18.7122207549226,10.8208349074925,19.1633886345232,22.1634692534013,22.4290680722216,16.8802257225309,19.761995526743,8.49884225862407,19.8995067315061,14.2633005277421,14.0824868540796,5.5615861310529,24.7098724041623,40.6610485678246,2.6763729793384,36.9942301326231,33.9163128106302,33.486360913841,26.9194630652214,45.8295142071494
43,56000,85000,239000,409000,593000,722000,29000,49000,174000,302000,515000,621000,2,1,9999,9999,15800,1,1936,1995,6,5,18125,0,0,0,0,0,0,10513,3,8888,8888,8888,8888,8888,8888,1,3414,31660,12355,0,9999,1894,34986,9999,15000,8500,3000,8000,1,2,1,2,0,3414,0,8888,9999,8888,1119,371,748,631,191442.5,.1969,.2539,.186,.2255,.265,.333208159839189,.2307,.294,.0507,.0301,.0096,.00755100391405249,.1002,.0768,.1087,.0878,.0668,.066746718084308,.6691,.6292,.8406,.8821,.9236,.92570227800164,.8863,.874,.642,.6625,.683,.692560524232489,.5979,.4261,.2513,.1788,.1062,.0851348395362645,.1351,.1894,.2256,.2332,.2408,.260554357676323,.267,.3845,.523,.588,.653,.654310802787413,0,.3149,.239,.2491,.2325,.232305142302717,0,.0081,.1298,.1089,.0251,.0222913971539457,.3623,.4543,.2885,.219543596645098,.2937,.2485,.3129,.344289958209552,1986,938,.0529,.0533,.2913,.5658,.6957,.739867239053878,12.4,22.72,73.02,91.89,36.88,184563.9,1,1,403,83,9999,29,1,1,1910,1945,1965,300,7,15,204,293,32,9999,0,1910,98,1950,1925,1940,1900,1910,1,2,1946,0,9999,9999,9999,1,2,1,1,1,12,9999,9999,5,8,1,15,20,1,1,1,2,12,12,8888,8888,2,2,2,2,2,2,2,2,2,9999,9999,9999,9999,9999,9999,9999,9999,4.31,8888,790000,673000,.747470828002321,.396666497924471,.0616728129481664,.246978078262651,.679773611964761,.00507732620071378,.0563248866737682,.927525639331006,.292712440602568,.0152190122333434,.1463,.4955,.805116832629809,13.4859038589914,28.9719059311829,61.5075591396621,46.6056102095108,41.5073256631685,35.7926470844997,34.716550109518,33.8009317871498,35.159321164355,29.3576464961805,22.1453593707396,20.2342205328475,15.6813316645788,16.3967350010871,16.1400261236195,18.6690369841982,35.8090463939688,24.8049033738127,27.2276715739515,55.4859415803684,59.1160941351012,138.340196763677,154.839976065732,103.377969848858,62.61729399887,126.932200441857
44,10000,11000,10000,13000,12000,13000,1000,1000,1000,1000,1000,1000,2,4,9999,9999,600,1,1937,9999,9999,1,2364,0,0,0,0,0,0,0,9999,8888,8888,8888,8888,8888,8888,8888,9999,9999,0,0,0,9999,9999,9999,9999,9999,8888,8888,1,2,1,2,0,9999,0,8888,1,8888,1,1,0,9999,31.7,.0453,.0624,.0872,.0712,.0552,.0799472875027454,.7866,.6733,.3423,.2545,.1667,.148367952522255,.0173,.0347,.1261,.0839,.0417,.0682492581602374,.196,.2921,.5315,.6616,.7917,.783382789317507,.9084,.867,.7615,.6822,.6028,.376409562471809,.9762,.9707,.9129,.8804,.8478,.692793931731985,.0111,.013,.0437,.0639,.084,.152970922882427,.0127,.0163,.0433,.0558,.0682,.154235145385588,.9313,.6107,.6639,.6247,.6656,.427767354596623,.0004,.0006,.0204,.3544,.0148,.0137585991244528,.6628,.8428,.7416,.676751592356688,.0964,.0649,.094,.128980891719745,54,3,.0069,.0103,.0516,.1988,.3967,.485960398254838,15.61,37.65,46.06,63.93,90.28,8888,9999,9999,32,18,1,0,0,0,1973,1980,8888,1,6,0,0,1,0,8888,0,1993,30,9999,1993,1980,8888,8888,1,2,1984,0,60,1,1984,2,2,1,2,2,1,2,8888,0,9,0,0,2,2,2,2,1,8,4,8888,8888,2,1,1,2,2,2,2,8888,2,2,2,2,2,8888,2,2,2,1,2.69,12000,1000,.708046996231434,.0744842562432139,.78273381294964,.0877697841726619,.125179856115108,.127659574468085,.0921985815602837,.773049645390071,.331344331344331,.0435240435240435,.549,.1722,.566856019226568,8.21557673348669,16.1715172632317,0,7.83224396047896,15.4169661516841,0,7.6366910191785,15.3740678878195,0,7.78871759957392,15.6801254410035,0,8.2196583548293,8.41629368232551,0,0,8.71720284086842,0,0,25.2153225461571,0,0,24.3125576982061,0,0,0
45,10000,11000,10000,13000,12000,13000,1000,1000,1000,1000,1000,1000,3,4,9999,9999,600,1,1937,9999,9999,1,2364,0,0,0,0,0,0,0,9999,8888,8888,8888,8888,8888,8888,8888,9999,9999,0,0,0,9999,9999,9999,9999,9999,8888,8888,1,2,1,2,0,9999,0,8888,1,8888,1,1,0,9999,31.7,.0453,.0624,.0872,.0712,.0552,.0799472875027454,.7866,.6733,.3423,.2545,.1667,.148367952522255,.0173,.0347,.1261,.0839,.0417,.0682492581602374,.196,.2921,.5315,.6616,.7917,.783382789317507,.9084,.867,.7615,.6822,.6028,.376409562471809,.9762,.9707,.9129,.8804,.8478,.692793931731985,.0111,.013,.0437,.0639,.084,.152970922882427,.0127,.0163,.0433,.0558,.0682,.154235145385588,.9313,.6107,.6639,.6247,.6656,.427767354596623,.0004,.0006,.0204,.3544,.0148,.0137585991244528,.6628,.8428,.7416,.676751592356688,.0964,.0649,.094,.128980891719745,54,3,.0069,.0103,.0516,.1988,.3967,.485960398254838,15.61,37.65,46.06,63.93,90.28,8888,9999,9999,32,18,1,0,0,0,1973,1980,8888,0,6,0,0,1,0,8888,0,1985,30,9999,1985,1992,8888,8888,2,1,8888,20,60,1,1992,2,2,2,2,2,0,2,8888,0,5,0,0,2,2,2,2,1,3,14,8888,8888,2,1,1,1,2,1,2,8888,8888,1,2,1,8888,8888,2,2,2,1,4.46,12000,1000,.708046996231434,.0744842562432139,.78273381294964,.0877697841726619,.125179856115108,.127659574468085,.0921985815602837,.773049645390071,.331344331344331,.0435240435240435,.549,.1722,.566856019226568,8.21557673348669,16.1715172632317,0,7.83224396047896,15.4169661516841,0,7.6366910191785,7.68703394390975,0,0,7.84006272050176,0,0,25.2488810469765,0,0,26.1516085226053,0,0,8.4051075153857,8.30357884248111,16.4065531504711,16.2083717988041,0,0,0
46,32000,41000,49000,55000,58000,55000,1000,1000,1000,1000,1000,1000,3,4,30352,15442,9800,1,1925,1970,4,4,12550,0,8303,285,0,2329,0,477,3,8888,3,3,8888,3,8888,3,8821,41506,28560,0,3010,9999,9999,9999,22000,5000,9999,5000,1,1,2,2,750,0,0,1,8888,8888,26,2,24,237,27107.4,.0696,.111,.1582,.1385,.1187,.223676828127922,.384,.628,.2571,.1469,.0366,.0347465034965035,.0805,.073,.1703,.1338,.0973,.138548951048951,.5355,.299,.5726,.7193,.8661,.826704545454545,.8744,.8825,.6617,.6611,.6604,.63465035543065,.8235,.8134,.6807,.553,.4253,.258041329739443,.0772,.0794,.1406,.1887,.2368,.295238095238095,.0993,.1072,.1787,.2583,.3379,.446720575022462,.7082,.5915,.4301,.5222,.3798,.264588062491654,.0033,.0035,.0738,.0649,.0379,.0585525437308052,.6473,.556,.4204,.27828868452619,.1551,.2151,.2661,.352059176329468,327,73,.0719,.0939,.1779,.378,.5417,.630582968765897,7.77,5.99,87.66,93.18,32.57,92718,21,15,18,7,2,3,0,0,1931,1950,1963,54,30,3,26,9999,9999,1910,7,1969,95,1967,1974,1994,8888,8888,2,2,8888,2,4,1,1992,2,1,2,2,9999,1,1,10,0,6,0,0,1,2,1,2,2,10,16,8888,8888,2,1,2,1,1,2,9999,8888,8888,2,1,2,8888,8888,2,2,2,2.35,8888,58000,1000,.722922513437664,.279174532349408,.236254098985739,.27568062228323,.483565926942729,.0211753874482124,.109866502992174,.862513426423201,.261958299264105,.0379190515126738,.2519,.3955,.72349650663851,6.89964466829958,5.20736829787186,12.2271541186834,7.03100883947595,12.3818631272775,16.0199359202563,3.57829942400311,7.19341459816184,9.03802467485371,9.08451905932272,3.65250105009405,12.8872152566278,3.71186119258698,7.48380411676849,15.0887442046632,5.70407270791345,3.73406143541969,7.33329439374676,16.2020252062959,8.8386200229932,8.67904877625412,27.2715469028937,40.1687851426541,14.7913437545553,13.6010829394062,23.6786469344609
47,9000,15000,20000,24000,26000,27000,1000,2000,3000,3000,3000,4000,2,3,9999,9999,8888,1,1939,1939,3,1,1082,0,1925,0,0,0,10272,226,1,8888,1,8888,8888,8888,1,1,5840,30000,29129,5823,0,23048,47744,9999,35000,25000,9999,8888,1,2,2,1,0,0,9999,8888,8888,2,16,9999,9999,16,43858.2,.0745,.1006,.1206,.106,.0913,.1344,.3637,.5941,.3366,.2397,.1429,.0463791700569569,.2113,.0227,.0976,.1137,.1299,.0724165988608625,.4249,.3832,.5659,.6466,.7273,.881204231082181,.945,.7585,.73,.7257,.7214,.671778487752929,.8909,.8685,.7756,.726,.6764,.641606425702811,.0426,.0722,.1416,.1721,.2025,.193895582329317,.0665,.0592,.0828,.1019,.1211,.164497991967871,.5901,.4125,.3643,.378,.2662,.19028042871825,.0013,.002,.0397,.0677,.0191,.0237850535897812,.6993,.6154,.3154,.404160887656033,.108,.1546,.2251,.210124826629681,114,35,.0448,.0475,.1113,.3,.455,.514471857310691,20.57,43.64,59.65,56.39,66,346307,100,9999,46,26,1,2,0,0,1954,1968,1969,7,5,0,1,1,1,1980,7,1965,9999,1970,1965,1975,1960,1965,1,2,1965,0,10,1,1965,1,1,1,1,9999,5,1,5,2,100,1,1,2,9999,9999,9999,1,3,19,8888,8888,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.44,12.57,29000,4000,.743350572589583,.160781722054381,.586222910216718,.193962848297214,.212074303405573,.0310810810810811,.118018018018018,.83963963963964,.335018050541516,.0176895306859206,.3934,.2662,.618576429404901,3.87762224204118,7.68365453344706,11.4190881623149,22.6273533236223,14.9456509765151,3.70192129715322,7.38334792858353,25.7701849803694,11.0137929520356,18.3055092321912,10.9529025191676,3.66395465653485,7.35397600863355,14.7602708562732,0,3.71636687973837,7.32996192240986,7.22861110361645,14.2573233095727,7.03009419928498,10.3993344425957,27.3481163904887,10.1137410345316,9.97389911642007,13.4070657933652,3.32369461893841
